,support,itemsets,length,frequency
291,0.000444247001332741,"frozenset({'CEVIS', 'CIR'})",2,5
301,0.00035539760106619283,"frozenset({'MSL', 'CEVIS'})",2,4
413,0.0002665482007996446,"frozenset({'EPM', 'FSL'})",2,3
302,0.0002665482007996446,"frozenset({'MSRR-1', 'CEVIS'})",2,3
193,0.00017769880053309641,"frozenset({'ARED', 'CIR'})",2,2
536,8.884940026654821e-05,"frozenset({'MSRR-1', 'Holter'})",2,1
535,8.884940026654821e-05,"frozenset({'Holter', 'MSL'})",2,1
635,8.884940026654821e-05,"frozenset({'MSL', 'PFS'})",2,1
643,8.884940026654821e-05,"frozenset({'MSRR-1', 'PFS'})",2,1
637,8.884940026654821e-05,"frozenset({'MSL', 'TEPC'})",2,1
638,8.884940026654821e-05,"frozenset({'TVIS', 'MSL'})",2,1
296,8.884940026654821e-05,"frozenset({'FSL', 'CEVIS'})",2,1
295,8.884940026654821e-05,"frozenset({'FIR', 'CEVIS'})",2,1
174,8.884940026654821e-05,"frozenset({'ALTEA', 'CIR'})",2,1
216,8.884940026654821e-05,"frozenset({'CIR', 'Actiwatch'})",2,1
197,8.884940026654821e-05,"frozenset({'ARED', 'FSL'})",2,1
196,8.884940026654821e-05,"frozenset({'ARED', 'FIR'})",2,1
476,8.884940026654821e-05,"frozenset({'Ultrasound', 'FIR'})",2,1
475,8.884940026654821e-05,"frozenset({'FIR', 'TEPC'})",2,1
473,8.884940026654821e-05,"frozenset({'PCBA', 'FIR'})",2,1
496,8.884940026654821e-05,"frozenset({'Ultrasound', 'FSL'})",2,1
495,8.884940026654821e-05,"frozenset({'SLAMMD', 'FSL'})",2,1
366,8.884940026654821e-05,"frozenset({'TVIS', 'DECLIC'})",2,1
351,8.884940026654821e-05,"frozenset({'TVIS', 'CIR'})",2,1
350,8.884940026654821e-05,"frozenset({'CIR', 'TEPC'})",2,1
348,8.884940026654821e-05,"frozenset({'SLAMMD', 'CIR'})",2,1
343,8.884940026654821e-05,"frozenset({'MARES', 'CIR'})",2,1
411,8.884940026654821e-05,"frozenset({'EPM', 'EML'})",2,1
